record_id,user_id,signup_channel,last_activity_date,total_transactions,total_value,status,ingestion_timestamp,days_since_last_activity,engagement_band,value_band
R001,U1001,web,2024-12-28,12,320.5,active,2025-01-10 02:01:00,389,inactive,high
R002,U1002,app,2024-10-15,2,45.0,inactive,2025-01-10 02:01:01,463,inactive,low
R003,U1003,web,2024-12-30,8,210.0,active,2025-01-10 02:01:02,387,inactive,medium
R004,U1004,phone,2024-06-01,1,15.0,inactive,2025-01-10 02:01:03,599,inactive,low
R005,U1005,app,2024-12-31,14,540.0,active,2025-01-10 02:01:04,386,inactive,high
R006,U1006,web,2024-09-18,0,0.0,churned,2025-01-10 02:01:05,490,inactive,none
R007,U1007,web,2024-11-25,6,175.5,active,2025-01-10 02:01:06,422,inactive,medium
R008,U1008,phone,2024-07-09,1,20.0,inactive,2025-01-10 02:01:07,561,inactive,low
R009,U1009,app,2024-12-20,9,260.75,active,2025-01-10 02:01:08,397,inactive,medium
R010,U1010,web,2024-05-11,0,0.0,churned,2025-01-10 02:01:09,620,inactive,none
R011,U1011,web,2024-12-29,11,410.0,active,2025-01-10 02:01:10,388,inactive,high
R012,U1012,app,2024-08-02,2,60.0,inactive,2025-01-10 02:01:11,537,inactive,low
R013,U1013,web,2024-11-10,5,140.0,active,2025-01-10 02:01:12,437,inactive,medium
R014,U1014,phone,2024-04-19,1,12.5,inactive,2025-01-10 02:01:13,642,inactive,low
R015,U1015,app,2024-12-27,16,620.0,active,2025-01-10 02:01:14,390,inactive,high
R016,U1016,web,2024-09-01,3,90.0,inactive,2025-01-10 02:01:15,507,inactive,low
R017,U1017,web,2024-12-22,10,300.0,active,2025-01-10 02:01:16,395,inactive,medium
R018,U1018,app,2024-07-30,1,25.0,inactive,2025-01-10 02:01:17,540,inactive,low
R019,U1019,web,2024-12-15,7,185.0,active,2025-01-10 02:01:18,402,inactive,medium
R020,U1020,phone,2024-05-22,0,0.0,churned,2025-01-10 02:01:19,609,inactive,none
R021,U1021,app,2024-11-04,4,110.25,active,2025-01-10 02:01:20,443,inactive,medium
R022,U1022,web,2024-12-26,13,480.0,active,2025-01-10 02:01:21,391,inactive,high
R023,U1023,web,2024-08-14,2,55.0,inactive,2025-01-10 02:01:22,525,inactive,low
R024,U1024,phone,2024-04-10,1,10.0,inactive,2025-01-10 02:01:23,651,inactive,low
R025,U1025,app,2024-12-30,19,820.5,active,2025-01-10 02:01:24,387,inactive,high
R026,U1026,web,2024-09-05,3,75.0,inactive,2025-01-10 02:01:25,503,inactive,low
R027,U1027,web,2024-12-21,9,260.0,active,2025-01-10 02:01:26,396,inactive,medium
R028,U1028,app,2024-10-12,5,130.0,active,2025-01-10 02:01:27,466,inactive,medium
R029,U1029,phone,2024-06-18,1,18.5,inactive,2025-01-10 02:01:28,582,inactive,low
R030,U1030,web,2024-12-28,15,510.0,active,2025-01-10 02:01:29,389,inactive,high
R031,U1031,app,2024-05-15,0,0.0,churned,2025-01-10 02:01:30,616,inactive,none
R032,U1032,web,2024-11-20,6,165.4,active,2025-01-10 02:01:31,427,inactive,medium
R033,U1033,web,2024-12-10,11,390.0,active,2025-01-10 02:01:32,407,inactive,high
R034,U1034,phone,2024-07-02,2,40.0,inactive,2025-01-10 02:01:33,568,inactive,low
R035,U1035,app,2024-12-05,8,215.75,active,2025-01-10 02:01:34,412,inactive,medium
R036,U1036,web,2024-08-29,3,85.0,inactive,2025-01-10 02:01:35,510,inactive,low
R037,U1037,app,2024-12-29,14,490.2,active,2025-01-10 02:01:36,388,inactive,high
R038,U1038,web,2024-10-15,4,120.0,active,2025-01-10 02:01:37,463,inactive,medium
R039,U1039,phone,2024-04-01,0,0.0,churned,2025-01-10 02:01:38,660,inactive,none
R040,U1040,web,2024-12-18,10,310.0,active,2025-01-10 02:01:39,399,inactive,high
R041,U1041,app,2024-09-12,2,65.0,inactive,2025-01-10 02:01:40,496,inactive,low
R042,U1042,web,2024-11-28,7,195.5,active,2025-01-10 02:01:41,419,inactive,medium
R043,U1043,phone,2024-06-30,1,12.0,inactive,2025-01-10 02:01:42,570,inactive,low
R044,U1044,app,2024-12-22,12,380.0,active,2025-01-10 02:01:43,395,inactive,high
R045,U1045,web,2024-08-01,2,45.0,inactive,2025-01-10 02:01:44,538,inactive,low
R046,U1046,web,2024-12-14,9,275.0,active,2025-01-10 02:01:45,403,inactive,medium
R047,U1047,app,2024-10-05,5,140.0,active,2025-01-10 02:01:46,473,inactive,medium
R048,U1048,phone,2024-05-11,1,15.0,inactive,2025-01-10 02:01:47,620,inactive,low
R049,U1049,web,2024-12-31,16,590.0,active,2025-01-10 02:01:48,386,inactive,high
R050,U1050,app,2024-07-22,0,0.0,churned,2025-01-10 02:01:49,548,inactive,none
R051,U1051,web,2024-11-15,6,180.0,active,2025-01-10 02:01:50,432,inactive,medium
R052,U1052,app,2024-09-30,3,95.0,inactive,2025-01-10 02:01:51,478,inactive,low
R053,U1053,phone,2024-12-01,8,225.5,active,2025-01-10 02:01:52,416,inactive,medium
R054,U1054,web,2024-06-15,1,20.0,inactive,2025-01-10 02:01:53,585,inactive,low
R055,U1055,app,2024-12-25,14,460.0,active,2025-01-10 02:01:54,392,inactive,high
R056,U1056,web,2024-10-20,4,115.0,active,2025-01-10 02:01:55,458,inactive,medium
R057,U1057,phone,2024-04-28,0,0.0,churned,2025-01-10 02:01:56,633,inactive,none
R058,U1058,web,2024-12-12,11,350.25,active,2025-01-10 02:01:57,405,inactive,high
R059,U1059,app,2024-09-08,2,60.0,inactive,2025-01-10 02:01:58,500,inactive,low
R060,U1060,web,2024-11-29,7,205.0,active,2025-01-10 02:01:59,418,inactive,medium
R061,U1061,phone,2024-07-14,1,10.0,inactive,2025-01-10 02:02:00,556,inactive,low
R062,U1062,app,2024-12-27,13,420.0,active,2025-01-10 02:02:01,390,inactive,high
R063,U1063,web,2024-08-25,2,50.0,inactive,2025-01-10 02:02:02,514,inactive,low
R064,U1064,web,2024-12-19,10,290.0,active,2025-01-10 02:02:03,398,inactive,medium
R065,U1065,app,2024-10-02,5,155.0,active,2025-01-10 02:02:04,476,inactive,medium
R066,U1066,phone,2024-05-30,1,15.0,inactive,2025-01-10 02:02:05,601,inactive,low
R067,U1067,web,2024-12-30,17,640.0,active,2025-01-10 02:02:06,387,inactive,high
R068,U1068,app,2024-07-11,0,0.0,churned,2025-01-10 02:02:07,559,inactive,none
R069,U1069,web,2024-11-05,6,170.0,active,2025-01-10 02:02:08,442,inactive,medium
R070,U1070,app,2024-09-15,3,80.0,inactive,2025-01-10 02:02:09,493,inactive,low
R071,U1071,phone,2024-12-08,8,240.0,active,2025-01-10 02:02:10,409,inactive,medium
R072,U1072,web,2024-06-01,1,25.0,inactive,2025-01-10 02:02:11,599,inactive,low
R073,U1073,app,2024-12-24,14,475.0,active,2025-01-10 02:02:12,393,inactive,high
R074,U1074,web,2024-10-18,4,130.0,active,2025-01-10 02:02:13,460,inactive,medium
R075,U1075,phone,2024-04-12,0,0.0,churned,2025-01-10 02:02:14,649,inactive,none
